,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp_mean,t_end_loop,t_init,t_IO_plus_t_comp_max,std_comp,std_IO,t_tot_max,std_tot_max,t_comm_mean,t_comm_max,t_block_RMSD_mean,t_block_RMSD_max,std_t_comm_mean,std_t_comm_max,std_t_block_RMSD_mean,std_t_block_RMSD_max,speed_up,std_S,efficiency,std_E,Ideal_Scaling,Ideal_Efficiency
0,1,3.0,0.0,15148.0,790.521153927,15938.52,0.00817394256592,0.16606593132,15938.52,0.0,0.0,15938.52,0.0,0.0145699977875,0.0145699977875,15938.52,15938.52,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1.0
1,8,3.0,3.5,1617.74423417,109.264131957,1727.27890464,0.0116137206555,0.152898204327,2042.26540899,105.509608815,8.64004670355,1900.77211995,126.863747275,97.8115292966,213.538372946,1727.43230183,1900.76074524,24.9102427207,92.1770690389,44.5705063393,126.868020284,8.3852871329,0.559661485189,1.04816089161,0.0699576856486,8,1.0
2,16,3.0,7.5,813.763920236,53.4687959433,867.369604242,0.0108803093433,0.423823097348,1001.98501611,49.4243743416,3.63722488245,970.983196068,20.967237653,73.1448711783,158.738857174,867.793680695,970.972562027,20.9623293988,33.0932442449,8.83763833857,20.9688340264,16.4148257813,0.35445881513,1.02592661133,0.0221536759456,16,1.0
3,24,3.0,11.5,560.731562128,37.1844426632,598.013261845,0.0110947966576,0.237916064262,737.712147951,31.8500018207,3.46699101091,693.203180122,28.3727369871,68.7727739453,135.605808401,598.251367011,693.16945982,21.8858542055,25.306179224,5.26616944404,28.3871562728,22.992566187,0.941083439588,0.958023591125,0.0392118099828,24,1.0
4,32,3.0,15.5,419.418970448,27.5896745086,447.084775941,0.0112318009138,0.717336565256,558.777106047,27.8296269454,0.694955967308,532.913762569,25.6689503544,46.0495764449,107.088793945,447.80226513,529.521130991,12.7055143025,14.9237707455,3.75176462584,25.0921672869,29.9082536791,1.44059608289,0.934632927471,0.0450186275904,32,1.0
5,40,3.0,19.5,333.629230619,22.1609316015,355.853052013,0.0115379440784,2.15651741982,433.368587971,21.5870313754,0.772176672337,446.304027319,44.9955126855,71.6476769185,120.248734522,358.009701155,443.77395463,35.5122747696,44.1312905853,4.33430557646,43.8200464313,35.7122477602,3.60044005602,0.892806194006,0.0900110014006,40,1.0
6,48,3.0,23.5,280.605072735,19.7331552486,300.392582532,0.0109882265329,1.86795598368,359.380737066,16.9710993527,1.13581840582,380.767547798,41.7882288831,47.0664832622,103.610213232,302.260655117,359.285368061,19.6958209303,48.4945596791,2.35605202141,26.699040122,41.8589244072,4.59390597766,0.87206092515,0.0957063745346,48,1.0
7,56,3.0,27.5,244.216901412,16.4850355038,260.749315522,0.0106561626707,2.86716394765,394.24715519,33.8848382916,1.17328599687,388.741439199,17.8383900838,71.845091291,157.43723855,263.616583644,387.311146688,31.6241383099,17.3187270579,11.554078716,16.3924971649,41.0003112424,1.88140360597,0.732148415043,0.0335964929638,56,1.0
8,64,3.0,31.5,205.981010648,15.8587027982,221.882366665,0.010682529211,1.26974631846,267.64199996,12.5922543818,2.97340769885,326.985959339,38.3966306971,70.5359472387,119.971175051,223.152210102,281.381127787,37.0080279328,39.6264868901,2.35461520694,43.2880713222,48.7437443253,5.72377955749,0.761621005083,0.0894340555858,64,1.0
9,72,3.0,35.5,181.790464042,20.0017462439,201.831100721,0.010390184323,1.45943864849,262.77848506,10.9908865557,14.4002360455,333.774698925,53.6005180824,90.7647877759,148.657703638,203.29063001,298.53693881,44.1633046835,47.7198972506,12.8549843422,80.4356274646,47.7523312921,7.66849526086,0.663226823502,0.106506878623,72,1.0
