,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,Communication,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init,std_comm
0,1,3.0,0.0,225.66790256500244,423.0817578792572,652.2833701610565,7.62939453125e-07,0.0008173942565917969,0.013274192810058594,6.549794305651046,5.881277898934041,10.091527107514077,1.0662402999400091e-07,1.7781455191560434e-05,0.0015925613242282958
1,8,3.0,7.0,30.775229072570802,57.92224941253662,89.14095764160156,2.09808349609375e-06,0.0004972934722900391,0.014107847213745117,0.9333479554648115,2.5560518762055247,3.630263205321119,7.614478789649636e-07,5.7413451254938236e-05,0.0002163120538989339
2,16,3.0,15.0,15.592122173309326,29.30034532546997,45.052639436721805,1.8596649169921875e-06,0.0008293628692626953,0.015572690963745117,0.5096393447341175,1.1776506580875477,1.8812475737513348,3.9176170170676676e-07,2.97161764586038e-05,0.001403644586362551
3,24,3.0,23.0,10.422578191757202,19.66430459022522,30.25955195426941,1.9073486328125e-06,0.001218271255493164,0.015685272216796876,0.11870870773492319,0.3016999305100789,0.34313673174061565,4.460403188197544e-07,0.00020360014177182978,0.0018861590901945906
4,32,3.0,31.0,7.891876268386841,14.876366233825683,22.897935724258424,1.7642974853515626e-06,0.0016517162322998047,0.01847872734069824,0.09791196280873071,0.2162145949087182,0.29776373760790514,3.615796777749802e-07,0.0003177448600355181,0.0016810845033609172
5,40,3.0,39.0,6.348135089874267,11.952178001403809,18.36850800514221,2.09808349609375e-06,0.0012989044189453123,0.015266656875610352,0.14713304936378874,0.23437116197326885,0.3541109708377177,2.611744678045112e-07,0.0005915017916087073,0.0005966447450021822
6,48,3.0,47.0,5.333990573883057,9.866419219970703,15.269095420837402,2.002716064453125e-06,0.0012700080871582032,0.01612200736999512,0.10390059220469218,0.12928439475181408,0.24474594133448285,3.198720899820027e-07,0.0005335665951071433,0.00020799712542134203
7,56,3.0,55.0,4.607291316986084,8.665296745300292,13.334484767913818,2.09808349609375e-06,0.0013803958892822266,0.016619396209716798,0.07261937199146959,0.1384831547517516,0.20147314730485538,1.0662402999400092e-07,0.0007043058432632747,0.0013374865941080162
8,64,3.0,63.0,4.033155202865601,7.602480268478393,11.692086791992187,1.9550323486328123e-06,0.000790262222290039,0.021959257125854493,0.07459674782551232,0.168133610488797,0.21649893024234013,4.5860729364565243e-07,0.00045344990581525606,0.006186870984506793
9,72,3.0,71.0,3.5332396984100343,6.739740657806396,10.316055631637573,2.002716064453125e-06,0.0017461776733398438,0.018391132354736328,0.03575078586030088,0.06401721994556836,0.06311832996767597,4.6476337169689973e-07,0.0010542899761044572,0.0010015788714667056
10,96,3.0,95.0,2.6723821640014647,5.118137407302856,7.800873565673828,2.5272369384765624e-06,0.000968503952026367,0.02247910499572754,0.052728891292205614,0.12229775464724321,0.10811070244476564,1.2226945309599007e-06,0.0009018177065875872,0.0027312028512631223
11,120,3.0,119.0,2.1494252681732178,4.198814916610718,6.351783943176271,4.339218139648437e-06,0.000537252426147461,0.02503829002380371,0.038063211647694196,0.19085716199886676,0.18512839962537514,3.6835477575395806e-06,0.0003674799784707803,0.005325829351853888
12,144,3.0,143.0,1.8295440673828125,3.4629734992980956,5.292759561538697,2.4318695068359373e-06,0.0004155158996582031,0.0243319034576416,0.038964303253355634,0.2026776334033548,0.16864522286501177,5.168791625184727e-07,0.00020949718581999739,0.0011240418520578701
13,168,3.0,167.0,1.5750035285949706,3.001399374008179,4.56938591003418,2.1457672119140625e-06,0.0003901481628417969,0.03268189430236816,0.036857288417958656,0.1877101463578767,0.1874925808316004,1.6858739404357614e-07,0.000330045578363855,0.007713058816099163
14,192,3.0,191.0,1.3799544811248778,2.6357346534729005,3.99277687072754,2.7179718017578126e-06,0.0006663322448730469,0.03667497634887695,0.03456848472063821,0.250467768669643,0.2058394609007102,1.1631308477068394e-06,0.00042352698134339627,0.006922048444943069
15,288,3.5,287.0,0.9158281683921814,1.7332352995872498,2.655315577983856,4.5299530029296875e-06,0.000287175178527832,0.04304790496826172,0.015508872893538915,0.06079170009255093,0.0607263537689429,1.4697108275816383e-06,0.0002087198635953294,0.0035221529538431114
16,384,3.0,383.0,0.7583577632904053,1.5684694290161132,2.2592119693756105,2.86102294921875e-06,0.0006293773651123047,0.06256780624389649,0.09076115354837125,0.285227845954327,0.2546771453358906,8.760057959973257e-07,0.0004374972286267805,0.012838460247400447
