,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init
0,1,3,0,225.667902565,423.081757879,652.283370161,7.62939453125e-07,0.000817394256592,6.54979430565,5.88127789893,10.0915271075,1.06624029994e-07,1.77814551916e-05
1,8,3,7,30.7752290726,57.9222494125,89.1409576416,2.09808349609e-06,0.00049729347229,0.933347955465,2.55605187621,3.63026320532,7.61447878965e-07,5.74134512549e-05
2,16,3,15,15.5921221733,29.3003453255,45.0526394367,1.85966491699e-06,0.000829362869263,0.509639344734,1.17765065809,1.88124757375,3.91761701707e-07,2.97161764586e-05
3,24,3,23,10.4225781918,19.6643045902,30.2595519543,1.90734863281e-06,0.00121827125549,0.118708707735,0.30169993051,0.343136731741,4.4604031882e-07,0.000203600141772
4,32,3,31,7.89187626839,14.8763662338,22.8979357243,1.76429748535e-06,0.0016517162323,0.0979119628087,0.216214594909,0.297763737608,3.61579677775e-07,0.000317744860036
5,40,3,39,6.34813508987,11.9521780014,18.3685080051,2.09808349609e-06,0.00129890441895,0.147133049364,0.234371161973,0.354110970838,2.61174467805e-07,0.000591501791609
6,48,3,47,5.33399057388,9.86641921997,15.2690954208,2.00271606445e-06,0.00127000808716,0.103900592205,0.129284394752,0.244745941334,3.19872089982e-07,0.000533566595107
7,56,3,55,4.60729131699,8.6652967453,13.3344847679,2.09808349609e-06,0.00138039588928,0.0726193719915,0.138483154752,0.201473147305,1.06624029994e-07,0.000704305843263
8,64,3,63,4.03315520287,7.60248026848,11.692086792,1.95503234863e-06,0.00079026222229,0.0745967478255,0.168133610489,0.216498930242,4.58607293646e-07,0.000453449905815
9,72,3,71,3.53323969841,6.73974065781,10.3160556316,2.00271606445e-06,0.00174617767334,0.0357507858603,0.0640172199456,0.0631183299677,4.64763371697e-07,0.0010542899761
10,96,3,95,2.672382164,5.1181374073,7.80087356567,2.52723693848e-06,0.000968503952026,0.0527288912922,0.122297754647,0.108110702445,1.22269453096e-06,0.000901817706588
11,120,3,119,2.14942526817,4.19881491661,6.35178394318,4.33921813965e-06,0.000537252426147,0.0380632116477,0.190857161999,0.185128399625,3.68354775754e-06,0.000367479978471
12,144,3,143,1.82954406738,3.4629734993,5.29275956154,2.43186950684e-06,0.000415515899658,0.0389643032534,0.202677633403,0.168645222865,5.16879162518e-07,0.00020949718582
13,168,3,167,1.57500352859,3.00139937401,4.56938591003,2.14576721191e-06,0.000390148162842,0.036857288418,0.187710146358,0.187492580832,1.68587394044e-07,0.000330045578364
14,192,3,191,1.37995448112,2.63573465347,3.99277687073,2.71797180176e-06,0.000666332244873,0.0345684847206,0.25046776867,0.205839460901,1.16313084771e-06,0.000423526981343
15,288,3,287,0.914542007446,4.92127757072,5.81582422256,4.05311584473e-06,0.000507879257202,0.013735534344,7.12887363725,7.06730784881,1.66039327111e-06,0.000525570583092
16,384,3,383,0.75835776329,1.56846942902,2.25921196938,2.86102294922e-06,0.000629377365112,0.0907611535484,0.285227845954,0.254677145336,8.76005795997e-07,0.000437497228627
