,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp_mean,t_end_loop,t_init,t_IO_plus_t_comp_max,std_comp,std_IO,t_tot_max,std_tot_max,t_comm_mean,t_comm_max,t_block_RMSD_mean,t_block_RMSD_max,std_t_comm_mean,std_t_comm_max,std_t_block_RMSD_mean,std_t_block_RMSD_max,speed_up,std_S,efficiency,std_E,Ideal_Scaling,Ideal_Efficiency
0,1,3.0,0.0,225.667902565,423.081757879,652.283370161,7.62939453125e-07,0.000817394256592,667.19290638,6.54979430565,5.88127789893,652.301207781,10.0928305561,0.0132741928101,0.0132741928101,652.287933588,652.287933588,0.00159256132423,0.00159256132423,10.0915201324,10.0915201324,1.0,0.0218816364049,1.0,0.0218816364049,1,1.0
1,8,3.0,3.5,28.6157867074,52.9283458114,82.0123483121,1.03712081909e-06,0.000442868471146,91.3915331364,1.13649443993,2.27430054619,89.154810524,3.63152852617,0.0127871155739,0.0141078472137,82.0132367134,89.141852951,8.16990692599e-05,0.000216312053899,0.860677640129,3.63029805359,7.31650041032,0.31879858414,0.91456255129,0.0398498230175,8,1.0
2,16,3.0,7.5,14.3208617955,26.2606534064,40.8154469162,9.26852226257e-07,0.000776618719101,46.353310585,0.466800267756,0.922613239695,45.0685932636,1.88203172449,0.0130141973495,0.0155726909637,40.8164638847,45.0536613464,0.00142304774415,0.00140364458636,0.150113964099,1.88124037514,14.4735204839,0.6445577155,0.904595030243,0.0402848572187,16,1.0
3,24,3.0,11.5,9.59271962047,17.7063189805,27.4541264931,9.00030136108e-07,0.0010401904583,30.8056354523,0.318249258924,0.551888655779,30.2723176479,0.3454489851,0.0108238041401,0.0156852722168,27.4553396304,30.2607571125,0.00110831086482,0.00188615909019,0.213228922877,0.343189368158,21.5477789103,0.414268391475,0.897824121264,0.0172611829781,24,1.0
4,32,3.0,15.5,7.17997154891,13.2888171032,20.5849095389,8.55326652527e-07,0.000801281630993,23.3765320778,0.238177593403,0.437885188555,22.9091828346,0.303057146294,0.00973181426525,0.0184787273407,20.5858498603,22.8987172604,0.000589226622532,0.00168108450336,0.129679976021,0.297482388564,28.4733511662,0.579626595422,0.889792223944,0.0181133311069,32,1.0
5,40,3.0,19.5,5.71689630389,10.5558657336,16.3657192016,9.01222229004e-07,0.000646358728409,18.9009680748,0.189001193868,0.35543118071,18.3758337975,0.352279887877,0.00858626723289,0.0152666568756,16.366483618,18.3693572044,0.000310661225539,0.000596644745002,0.0613098459019,0.354084241965,35.4977746844,0.874516713532,0.887444367111,0.0218629178383,40,1.0
6,48,3.0,23.5,4.80796026886,8.88066954811,13.7664868852,8.9704990387e-07,0.00067523320516,15.6019375324,0.161332792744,0.277637234803,15.2799151897,0.246417791072,0.00846773982048,0.01612200737,13.7672667066,15.2698318958,0.000198112393948,0.000207997125421,0.0686912868624,0.244782811085,42.6901065667,0.954083461061,0.88937722014,0.0198767387721,48,1.0
7,56,3.0,27.5,4.09614118763,7.63276490739,11.7956473785,8.98327146258e-07,0.000391451801573,13.6582341194,0.14915818562,0.255126536299,13.3451395988,0.204076282655,0.00865085635866,0.0166193962097,11.7961337013,13.3349172115,0.0004766904067,0.00133748659411,0.0398455874743,0.201384415539,48.8793094257,1.06333990172,0.872844811173,0.0189882125307,56,1.0
8,64,3.0,31.5,3.59711152241,6.67483558506,10.3301717661,8.77678394318e-07,0.000349004566669,11.9629223347,0.123196069678,0.22187373433,11.7031851292,0.222047781304,0.0123105198145,0.0219592571259,10.330608356,11.692544651,0.00452405039182,0.00618687098451,0.0502436227912,0.216471310679,55.7370664978,1.36457756934,0.870891664029,0.0213215245209,64,1.0
9,72,3.0,35.5,3.1876209312,5.94074008995,9.18012579216,8.6161825392e-07,0.000384301609463,10.3772344589,0.105765333594,0.194828045102,10.3272105694,0.0677053067179,0.00923498604033,0.0183911323547,9.18059193161,10.3165136337,0.000453333773734,0.00100157887147,0.0254327547358,0.0629579317286,63.1633492315,1.06141547184,0.877268739326,0.0147418815533,72,1.0
