,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp_mean,t_end_loop,t_init,t_IO_plus_t_comp_max,std_comp,std_IO,t_tot_max,std_tot_max,t_comm_mean,t_comm_max,t_block_RMSD_mean,t_block_RMSD_max,std_t_comm_mean,std_t_comm_max,std_t_block_RMSD_mean,std_t_block_RMSD_max,speed_up,std_S,efficiency,std_E,Ideal_Scaling,Ideal_Efficiency
0,1,3.0,0.0,225.720697546,799.416394186,1027.13372436,0.00920200347901,0.167803430557,1034.67701602,5.40202523813,5.21551085963,1027.31739416,10.3968671993,0.0115946292877,0.0115946292877,1027.30579953,1027.30579953,0.00218464875075,0.00218464875075,10.3986452925,10.3986452925,1.0,0.0143124127781,1.0,0.0143124127781,1,1.0
1,8,3.0,3.5,28.3356067836,101.574693298,130.13778758,0.0103866934776,0.152907645702,135.869908094,1.25605690481,1.29040794928,134.346913242,2.12053559158,3.0070790112,6.30256490707,130.291169047,134.326567364,1.31842189757,1.89338182915,0.664250874036,2.11941224813,7.64675100728,0.143375695423,0.95584387591,0.0179219619279,8,1.0
2,16,3.0,7.5,14.9905405551,66.4949555784,81.6092313439,0.0108353286982,0.157199734449,89.7881860733,0.670076378633,4.27316348809,87.909772253,1.48670234756,4.1805234015,22.5046907902,81.7666846663,87.8944983482,1.56408090453,1.16013410952,0.185550155927,1.48211767988,11.6860431762,0.230315178207,0.730377698514,0.014394698638,16,1.0
3,24,3.0,11.5,10.1235672692,46.0859122078,56.2969647129,0.0109172960122,0.161868460973,66.580837965,0.449789100836,3.36389333849,60.8870765686,3.29593696131,3.2618067503,16.941254425,56.4590165416,60.8643327713,2.35645764654,2.37589631085,1.43582089007,3.29448769227,16.8725031987,0.929166770674,0.703020966611,0.0387152821114,24,1.0
4,32,3.0,15.5,7.62326565087,31.129542546,38.8220317662,0.0108470916748,1.77832180113,49.5298240185,0.591531402098,5.07744695945,85.1742313385,28.6521982913,30.9513715297,50.8496191502,40.6005048022,68.9048010349,26.7433668918,28.9650533046,2.6418831704,29.9834762677,12.0613638423,4.05922004653,0.376917620072,0.126850626454,32,1.0
5,40,3.0,19.5,6.03613898277,26.0244087648,32.118299284,0.0113610649109,1.59993793488,44.2265980244,0.426009518367,4.6566002371,101.669004393,27.6481850031,52.0068843806,73.4004244328,33.7183788788,78.5204286098,22.3420914193,26.1471664105,2.74596437241,41.9631838981,10.1045289102,2.74975918088,0.252613222756,0.0687439795219,40,1.0
6,48,3.0,23.5,5.29322525163,23.8625634422,29.20696778,0.0111513624589,1.09161992371,37.5360209942,0.383645651211,2.85291914909,102.042948008,38.2130326468,48.2928389748,75.8889248371,30.2987202605,40.8954128265,30.3044634192,37.1661338589,1.13976128385,10.0224428696,10.0675001479,3.77145292784,0.209739586415,0.0785719359967,48,1.0
7,56,3.0,27.5,4.54015769788,20.6760762181,25.2616326647,0.010948161568,0.834112123933,33.0542390347,0.322169305138,2.34837248332,100.813688374,40.0930517594,42.0169232139,78.6617534161,26.095851326,48.5623651505,25.7907690494,39.747329291,1.39095587013,39.9087098007,10.1902570051,4.05392139521,0.181968875092,0.072391453486,56,1.0
8,64,3.0,31.5,3.98685103059,18.2046744935,22.232753963,0.0110874563456,1.30479566529,31.2250921726,0.318773684396,2.42553726759,87.359186697,55.7015150392,33.1172136657,68.2038990974,23.5376482598,55.7668868065,31.3460439177,56.661022123,1.57573309068,50.9156533695,11.7596950361,7.49910067276,0.18374523494,0.117173448012,64,1.0
9,72,3.0,35.5,3.50648994181,20.2872135864,23.8310480714,0.0108719918463,0.572726542421,45.4730188847,0.228617099236,7.10922655537,100.870219994,35.1936816124,55.2882869018,84.0412735462,24.4038665434,55.3464390278,35.5384338416,35.6965765031,6.49028897698,39.753509735,10.1845459862,3.55488890341,0.141452027586,0.0493734569919,72,1.0
