,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp_mean,t_end_loop,t_init,t_IO_plus_t_comp_max,std_comp,std_IO,t_tot_max,std_tot_max,t_comm_mean,t_comm_max,t_block_RMSD_mean,t_block_RMSD_max,std_t_comm_mean,std_t_comm_max,std_t_block_RMSD_mean,std_t_block_RMSD_max,speed_up,std_S,efficiency,std_E,Ideal_Scaling,Ideal_Efficiency
0,1,3.0,0.0,8655.2,790.521153927,9445.72,0.00817394256592,0.16606593132,9445.72,0.0,0.0,9445.72,0.0,0.0145699977875,0.0145699977875,9445.72,9445.72,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1.0
1,8,3.0,3.5,926.131542152,104.404052305,1030.79583233,0.0104965984821,0.159903901816,1167.09960604,57.5821446364,4.3387845933,1154.22767844,11.545457247,61.9506877959,155.042731857,1030.95621713,1154.21450582,27.7761664271,25.3900424138,14.578217755,11.5437936821,8.18358472633,0.0818583970475,1.02294809079,0.0102322996309,8,1.0
2,16,3.0,7.5,466.351745924,55.0957251966,521.58087348,0.0107103317976,0.155916655064,636.022855997,28.7313573242,8.66209180459,603.531272316,35.2552979367,49.5414688587,110.292805099,521.73704302,595.458169842,21.6333262407,34.1626832581,10.6301705053,28.2279168686,15.650754871,0.914239329793,0.978172179437,0.057139958112,16,1.0
3,24,3.0,11.5,309.319181599,34.7668334544,344.178724192,0.0106816093127,0.227583988508,413.02105689,18.2825373807,0.491775071968,392.101312065,14.8716322743,41.1266450703,67.9989027977,344.40649729,392.078142262,9.31841441187,16.1279066913,3.06686666858,14.8693230938,24.0899984503,0.913686303558,1.00374993543,0.0380702626482,24,1.0
4,32,3.0,15.5,233.869173102,29.6821501583,263.624795203,0.010788923502,3.37646564841,302.681052923,12.274021985,2.13507828645,331.907530165,36.6464386604,44.409567526,78.1230164528,267.001409185,310.101186991,27.3037454232,36.9669743735,3.71938995249,24.4611038121,28.458890328,3.1421913755,0.88934032275,0.0981934804845,32,1.0
5,40,3.0,19.5,186.69136374,26.6598124266,213.411304941,0.0105921626091,1.74510246277,248.82378912,10.4655246151,4.92052324423,358.590916824,33.9231752928,112.480557832,158.111927795,215.15653512,286.041111422,46.0239366094,34.7341694136,4.57060628718,56.2547333853,26.341213781,2.49191368379,0.658530344525,0.0622978420948,40,1.0
6,48,3.0,23.5,160.356960895,26.4502346645,186.861254268,0.0107141256332,0.835805627704,226.207099915,9.30063453182,5.33927163488,266.625595808,49.4094685118,61.9676167349,92.7999184132,187.697176227,217.437506056,44.3528130974,52.9429298272,2.91368411776,9.80467117012,35.4269063005,6.56510342159,0.738060547927,0.13677298795,48,1.0
7,56,3.0,27.5,138.086334836,25.2179234879,163.35231608,0.0110531032085,1.25944148047,206.201025963,9.10441605025,8.78313094494,325.781928635,37.9361777324,95.6958049272,177.184419584,164.611864058,217.612182808,26.7627315312,37.5968638506,7.87539192926,33.2043697255,28.9939961974,3.37625047996,0.517749932096,0.0602901871422,56,1.0
8,64,3.0,31.5,119.453140093,20.7893126398,140.284993927,0.0106785722077,2.81826978028,165.061025143,7.08280046078,3.89258539574,281.29583602,31.1384911547,86.7592698716,150.336142445,143.103361305,232.935200214,39.6245778088,31.8275072494,3.0243891824,70.1732838059,33.5793097177,3.71711523862,0.524676714339,0.0580799256034,64,1.0
9,72,3.0,35.5,105.76814619,29.873115266,135.679788383,0.0105176945527,1.74353576435,208.699514866,6.17370264545,18.9860378092,267.956882572,86.0928775113,94.1416695628,147.809893608,137.423415701,214.716787148,49.7402972622,79.7073858865,15.6991448097,72.3970304602,35.2508952535,11.3258930993,0.489595767409,0.157304070823,72,1.0
